id,transliteration,translation
1206,ba'lu,major
1207,ba'û,to bark
1208,ba'ālu,to be dominant
1209,ba'ālu,exceptionally big
1210,ba'ālu,bright
1211,ba'āšu,to smell bad
1212,ba'āšu,be of bad quality
1213,ba'ūlu,great
1214,ba'ūlu,important
1215,ba'ūlātu,people
1216,ba'ūlātu,subjects
1217,babalu,leader
1218,babaru,forest
1219,babbanû,excellent
1220,babbanû,very good
1221,babbanûtu,excellence
1222,babbanûtu,high quality
1223,babbilu,bearer
1224,babbilu,carrier
1225,babbilu,tenant farmer
1226,babbilūtu,service as bearer
1227,babrunnu,brown
1228,babālu,to carry
1229,babālu,bring
1230,badāhu,to kiss
1231,bagani,under the protection of
1232,bahru,boiling hot
1233,bahrê,coral
1234,bahrūtu,boiling state
1235,bahû,thin
1236,bahû,to be thin
1237,bahû,be scarce
1238,bahūlātu,men
1239,bahūlātu,troops
1240,bakkû,tearful
1241,bakkā'u,wailer
1242,bakkā'u,mourner
1243,bakkītu,wailing woman
1244,bakkītu,mourner
1245,bakru,(first-)born
1246,bakru,foal
1247,bakuhû,bud
1248,bakuhû,shoot
1249,bakû,to weep
1250,bakā'iš,to weeping
1251,balar,on the other bank
1252,baliltu,rubbish tip
1253,balittu,(a kind of) reservoir
1254,baliu,lord
1255,ballu,mixed
1256,ballussu,mixture
1257,balu,without
1258,baluhhu,b. resin
1259,balālu,to mix (up)
1260,balālu,alloy
1261,balāmu,to gag
1262,balāt,without
1263,balātu,without
1264,balāṣu,to stare
1265,balāṣu,to thrust
1266,balāṣu,jerk
1267,balāṭu,life
1268,balāṭu,to live
1269,balūt,without
1270,balṣu,staring
1271,balṭu,living
1272,balṭu,alive
1273,balṭānumma,alive
1274,balṭūtu,state of being alive
1275,bamātu,open country
1276,bamātu,plain
1277,banbirru,leather coat
1278,bandillu,belly
1279,bandillānu,paunchy
1280,bandillānu,fat
1281,banduddû,bucket
1282,bandû,quotient
1283,banû,good
1284,banû,beautiful
1285,banû,to be(come) good
1286,banû,beautiful
1287,banû,built
1288,banû,to create
1289,banû,build
1290,banûtu,distinction
1291,banûtu,beauty
1292,bappiru,beer bread
1293,baqlu,sprouted
1294,baqmu,plucked
1295,baqqu,(small) fly
1296,baqqu,mosquito?
1297,baqru,(entitlement to) claim
1298,baqālu,to malt
1299,baqālu,sprout (intrans.)
1300,baqāmu,to pluck
1301,baqāru,to (lay) claim to
1302,baqāšu,to be broad
1303,baqāšu,prominent
1304,barasiggû,house altar
1305,barasiggû,small shrine
1306,barbartu,she-wolf
1307,barbaru,wolf
1308,bardû,crossbar
1309,bardû,lintel
1310,barhu,shining
1311,bari,between
1312,bari,among
1313,barittannu,grey
1314,barmu,multicoloured
1315,barmu,variegated
1316,barraqtu,emerald
1317,barruru,with scintillating eyes
1318,barumtu,coloured wool
1319,barû,to see
1320,barû,look at
1321,barû,seen
1322,barû,checked
1323,barû,to be on the market
1324,barû,be available
1325,barāhu,to beam
1326,barāhu,shine
1327,barāmu,to be variegated
1328,barāmu,multicoloured
1329,barāmu,to seal (up)
1330,barāqu,to lighten
1331,barāqu,shine
1332,barāri,at dusk
1333,barāri,evening
1334,barāru,to flicker
1335,barārītu,dusk
1336,barārītu,evening watch
1337,barāšu,to pluck out
1338,barāṣu,to light up
1339,barāṣu,shine
1340,barīkatu,(salt from) Barīku
1341,barīlu,sagapenum
1342,barīru,radiance
1343,barīru,glitter
1344,barīrātu,sagapenum
1345,barītum,intervening space
1346,baršu,patchy
1347,basi,soon
1348,basû,(square or cube) root
1349,batiqtu,denunciation
1350,batqu,cut (off)
1351,battatayya,each of several
1352,battatayya,individually
1353,battu,side
1354,battu,region around
1355,battubattu,all round
1356,battubattu,on all sides of
1357,batultu,adolescent
1358,batultu,nubile girl
1359,batāqu,to cut off
1360,batāqu,divide
1361,batāqu,tear off
1362,batūlu,boy
1363,batūlu,young man
1364,bayyartu,huntress
1365,bayyašû,modest
1366,bayyašû,decent
1367,bayyāru,huntsman
1368,bayyātu,nocturnal offering ritual
1369,bazhātu,military post
1370,bazhātu,outpost
1371,bazihtu,claim
1372,bazihtu,need
1373,bazā'u,to make (unreasonable) demands
1374,bašlu,cooked
1375,bašlu,ripe
1376,bašmu,(mythical poisonous) snake
1377,bašmu,horned viper (Cerastes cerastes)
1378,bašû,to be (at hand
1379,bašû,available)
1380,bašû,exist
1381,bašālu,to be cooked
1382,bašālu,become ripe
1383,bašāmu,sackcloth
1384,bašāmu,penitential robe
1385,bašāmu,to create
1386,bašāmu,form
1387,bašāmu,to allocate
1388,bašāšu,to spread
1389,baṣāru,to tear off
1390,baṣāṣu,to trickle
1391,baṣīhu,inhabitant of the marshes
1392,baṭiltu,interruption
1393,baṭlu,ceased
1394,baṭlu,disused
1395,baṭālu,to cease
1396,be'ēšu,to stir
1397,be'ūlātu,funds available
1398,be'ūlātu,working capital
1399,bedû,to be slow
1400,behēru,to select
1401,belû,extinguished
1402,belû,to be extinguished
1403,belû,come to an end
1404,bennu,epilepsy
1405,berkabtu,charioteer
1406,berqu,lightning (flash)
1407,berîš,in hunger
1408,berîš,hungrily
1409,berû,hungry
1410,berû,to be hungry
1411,berû,starve
1412,berûtu,hunger
1413,berûtu,starvation
1414,berātu,waters
1415,berātu,lagoons
1416,berītu,treaty
1417,bi'āru,spot on the skin
1418,bibbu,wild sheep
1419,bibbu,planet
1420,bibbu,star
1421,bibbu,comet ?
1422,bibbulu,flood
1423,bibbulu,spate
1424,bibbulu,day of the disappearance of the moon
1425,bibiltu,carrying off
1426,bibiltu,deportation
1427,biblu,the (action of) bringing
1428,biblu,things brought
1429,bibrû,figurine (of bird)
1430,bibû,baby
1431,bibēnu,temple
1432,bibēnu,side of head
1433,bidalu,merchant
1434,biduqtu,sluice channel
1435,bihirtu,levy
1436,bikītu,weeping
1437,bikītu,mourning
1438,billatu,mixture
1439,billu,(ad)mixture
1440,biltu,load
1441,biltu,talent
1442,biltu,yield
1443,biltu,rent
1444,biltu,tribute
1445,bilânu,without (s.o.'s) knowledge
1446,biniannu,shape
1447,biniannu,physique
1448,binna,give!
1449,bintu,daughter
1450,binûtu,creation
1451,binûtu,creature
1452,binûtu,product
1453,binûtu,form
1454,binītu,creation
1455,binītu,shape
1456,binītu,appearance
1457,binītu,structure
1458,biqlu,sapling
1459,biqlētu,germinating malt
1460,biqnu,(what has been) plucked
1461,biqnu,pluckings
1462,birbirrū,radiance
1463,birbirrū,sparkle
1464,birbirrū,flash
1465,birdu,pockmark
1466,biri-,among
1467,biri-,between
1468,birihhu,string
1469,birihhu,bundle
1470,birimtu,sealing
1471,birku,knee
1472,birmu,multicoloured cloth
1473,birmu,seal impression
1474,birru,grille
1475,birru,lattice
1476,birti,between
1477,birtu,fort
1478,birtu,castle
1479,birtu,riffraff
1480,birtūtu,function as fort
1481,birâ,(everywhere) in between
1482,birûtu,divination
1483,birīt,between
1484,birīt,among
1485,birīt birīt,mutually
1486,birītu,space between
1487,birītu,distance
1488,birītu,fetter
1489,biršu,felt
1490,birūyu,median
1491,birṣu,sheen
1492,bis,then
1493,bis,afterwards
1494,bisru,leek
1495,bitiqtu,damage
1496,bitiqtu,loss
1497,bitiqtu,deficit
1498,bitqu,break(age)
1499,bitqu,cutting
1500,bitqu,accusation
1501,bitqu,levy
1502,bitrumu,very colourful
1503,bitrû,enormous
1504,bitrû,magnificent
1505,bitrû,to be continuous
1506,bitrû,endure
1507,bitrāmu,multicoloured
1508,bizazû,frog
1509,biātu,to spend the night
1510,biātu,stay overnight
1511,bišbišu,pith
1512,bišimtu,formation
1513,bišimtu,shape
1514,bišimtu,product
1515,biškānu,pupa of a caterpillar
1516,bišru,small child
1517,bišītu,property
1518,bišītu,assets
1519,bišītu,intelligence
1520,bišītu,wisdom
1521,bišītu,the whole body
1522,biššu,rue
1523,biṣru,bag
1524,biṣû,(tear) drop
1525,biṣṣu,droplet
1526,biṣṣūru,female genitals
1527,biṣṣūru,vulva
1528,biṭiltu,inactivity
1529,bu''uru,hunting
1530,bu''uru,captured
1531,bu''û,sought for
1532,bu''û,to look for
1533,bu'šu,stench
1534,bubutu,boil
1535,bubutu,pustule
1536,bubūtu,hunger
1537,bubūtu,starvation
1538,bubūtu,axle
1539,buddudu,to waste
1540,buddudu,dissipate
1541,budduru,bundle of reeds
1542,budulhu,(resin from) bdellium tree
1543,buduššu,roller
1544,budūru,profusion
1545,buginnu,bucket
1546,buginnu,trough
1547,buhhuru,to heat
1548,buhhušu,to check
1549,buhru,cooked state
1550,buhru,cooked food
1551,bukru,son
1552,bukru,child
1553,bukurtu,daughter
1554,bukānu,(wooden) pestle
1555,bukāšu,duke
1556,bullu,to throw down
1557,bullu,cast away
1558,bullu,decay
1559,bullû,putrid
1560,bullûtu,state of decay
1561,bulû,dry wood
1562,bulû,dry reed
1563,bulṭu,life
1564,bulṭu,cure
1565,bulṭu,healing
1566,bunna,thanks to
1567,bunnanu,physiognomy
1568,bunnanu,(facial) features
1569,bunnû,beautified
1570,buntu,daughter
1571,buppānam,face down
1572,buppāniš,face down
1573,buppānī-,face down
1574,buppānī-,flat on the face
1575,buqlu,malt
1576,buqlu,vegetables
1577,buqqumu,lamb ready for plucking
1578,buqquru,to inquire into
1579,buqquru,investigate
1580,buqqušu,very broad
1581,buqurrû,legal claim
1582,buqāmu,lamb ready for plucking
1583,buqāqu,little gnat
1584,buqāqu,fly
1585,buqāru,cattle
1586,buqāšu,broad(-shouldered)
1587,buqūmu,plucking
1588,burbu'tu,bubble
1589,burhiš,buffalo
1590,burku,knee
1591,burkūtu,(hereditary) share
1592,burmu,colour(ed part)
1593,burrumu,multicoloured
1594,burrumu,pied
1595,burrumu,speckled
1596,burruqu,with flashing eyes
1597,burrušu,bald
1598,buru,son
1599,burubalû,ruin
1600,burubalû,(abandoned) building site
1601,burullu,chief b.
1602,burussu,bung
1603,burussu,plug
1604,burzigallu,big pursītu vessel
1605,burû,(reed) mat
1606,burāhu,shining
1607,burāšu,(species of) juniper
1608,burūmû,heaven
1609,burūmû,sky
1610,burūmītu,sky-blue lapis lazuli
1611,burṣimtu,pivot-stone box
1612,bussumu,pleasant
1613,bussumu,to please
1614,bussurtu,message
1615,bussurtu,report
1616,bussuru,to bring
1617,bussuru,send a message
1618,busukku,son
1619,busāru,announcement
1620,butinnu,button
1621,butiqtu,(water-flow from) dam breach
1622,butturu,with a mutilated leg
1623,butturu,to mutilate
1624,butuqqû,loss(es)
1625,butuqtu,breach
1626,butuqtu,cutting
1627,buāru,happiness
1628,bušlu,ripening
1629,bušālu,what has been cooked
1630,bušṭītu,woodworm
1631,bušṭītu,termite
1632,buṣaṣû,trifles
1633,buṣinnu,mullein
1634,buṣinnu,Verbascum
1635,buṣinnu,wick
1636,buṣinnu,lamp
1637,buṭnu,terebinth
1638,buṭnu,Pistacia
1639,buṭumtu,terebinth
1640,bâ'u,to go along
1641,bâ'u,to come
1642,bâlu,to supplicate
1643,bâru,to catch
1644,bâru,trap (with a net etc.)
1645,bâru,to revolt
1646,bâru,rise against
1647,bâru,to appear
1648,bâru,turn up
1649,bâru,be durable
1650,bâšu,to be ashamed
1651,bâšu,come to shame
1652,bâšu,to stamp
1653,bâšu,tamp
1654,bâṭu,to show contempt
1655,bêlu,to rule (over)
1656,bêlu,dispose of
1657,bêru,to choose
1658,bêru,select
1659,bêšu,to go away
1660,bêšu,withdraw
1661,bā,water
1662,bā'ertu,huntress
1663,bā'eru,hunter
1664,bā'eru,fisherman
1665,bā'erūtu,activity of fisherman
1666,bā'ilu,ruler
1667,bā'u,half
1668,bābtu,city quarter
1669,bābtu,district
1670,bābtu,commercial goods
1671,bābtu,merchandise outstanding
1672,bābu,gate
1673,bābu,door
1674,bābu,small child
1675,bābu,baby
1676,bābānu,at the gate
1677,bābānu,outside
1678,bābānû,outer
1679,bādu,evening
1680,bākisu,wailing woman
1681,bāmtu,half
1682,bāmtu,ribcage
1683,bāmtu,chest
1684,bāmtu,thorax
1685,bāmâ,half and half
1686,bāmâ,in half
1687,bāmāniš,in halves
1688,bāntiš,like a mother
1689,bāntu,mother
1690,bānû,creator
1691,bānû,begetter
1692,bāqilu,maltster
1693,bāqimu,plucker
1694,bāqirānu,claimant
1695,bāriqu,flashing
1696,bāriqu,lightning
1697,bārtu,revolt
1698,bārtu,rebellion
1699,bāru,tax
1700,bāru,tribute
1701,bārû,diviner
1702,bārûtu,work
1703,bārûtu,lore of the diviner
1704,bārānû,rebel
1705,bārītu,female diviner
1706,bātar,thereafter
1707,bātar,moreover
1708,bātiqu,express messenger
1709,bātiqu,informer
1710,bātiqu,denouncer
1711,bātiqānu,informer
1712,bātu,half
1713,bāštu,dignity
1714,bāštu,(source of) pride
1715,bāšû,existing
1716,bāšû,available
1717,bāšītu,what is present
1718,bāṣiš,like sand
1719,bāṣu,sand
1720,bēhiru,recruiting officer
1721,bēltu,lady
1722,bēltu,mistress
1723,bēltu,proprietress (of)
1724,bēlu,lord
1725,bēlu,proprietor (of)
1726,bēlūtu,rule
1727,bēlūtu,domination
1728,bēram,(for) a double hour
1729,bēru,distant
1730,bēru,selected
1731,bēru,double hour
1732,bēru,league
1733,bērūtu,mound
1734,bēšu,far apart
1735,bēšu,distant
1736,bī'u,opening
1737,bī'u,outlet
1738,bīdiya,with my (own) hand
1739,bīnu,son
1740,bīnu,tamarisk
1741,bīriš,over
1742,bīriš,to the other side
1743,bīriš,for a double-hour
1744,bīru,divination
1745,bīru,bull calf
1746,bīru,baulk
1747,bīru,ridge
1748,bīru,hunger
1749,bīru,thirst
1750,bīt,where
1751,bīt,when
1752,bītbītiš,from house to house
1753,bītu,house
1754,bītānu,in the house
1755,bītānu,inside
1756,bītānû,inner
1757,bītānû,interior
1758,bītītu,inside
1759,bīšu,bad
1760,bīšu,malodorous
1761,bīšu,possessions
1762,bīšu,property
1763,būdu,shoulder
1764,būlu,animals
1765,būlu,livestock
1766,būnatu,daughter
1767,būnu,son
1768,būnu,goodness
1769,būnzerru,(fowler's) hide
1770,būrtu,cistern
1771,būrtu,well
1772,būrtu,fish pond
1773,būrtu,source (of river)
1774,būrtu,hole
1775,būrtu,pit
1776,būrtu,cow
1777,būrtu,proof
1778,būrtu,attestation
1779,būrtī šamhat,caterpillar
1780,būru,cistern
1781,būru,well
1782,būru,pool
1783,būru,pit
1784,būru,(bull) calf
1785,būru,bur
1786,būru,hunger
1787,būštu,shame
1788,būšu,goods
1789,būšu,property
1790,būšānu,bad smell
1791,būṣiš,like a b. bird
1792,būṣu,hyaena
1793,būṣu,fine linen
1794,būṣu,byssus
1795,būṣu,glass vessel
1796,da'mu,dark
1797,da'ummatu,gloom
1798,da'ummatu,darkness
1799,da'ummiš,in pitch dark
1800,da'āmu,to be(come) dark
1801,da'āmu,dim
1802,da'āmu,to wander about
1803,da'ānatte,by force
1804,da'āpu,to push (away)
1805,da'īmu,gloom
1806,da'īmu,lance
1807,dababtu,talk
1808,dababtu,(faculty of) speech
1809,dababābu,idle talk
1810,dabbibu,slanderer
1811,dabbu,bolt
1812,dabbu,pin
1813,dabbu,bear
1814,dabdû,defeat
1815,dabdû,bloodshed
1816,dabru,aggressive
1817,dabû,bear
1818,dabûiš,like a bear
1819,dabābu,talk
1820,dabābu,to speak
1821,dabābu,talk
1822,dabūbu,conversation
1823,daddariš,like centaury?
1824,daddaru,centaury
1825,daddu,sole
1826,dadmū,villages
1827,dadmū,settlements
1828,dadmū,the inhabited world
1829,dagiltu,observation
1830,dagālu,to see
1831,dagālu,look
1832,dahru,angry
1833,dahû,beaten
1834,dahû,to beat
1835,dahû,press down
1836,dakirû,tree
1837,dakkannu,doorway
1838,dakāku,to crush
1839,dakāku,to gambol
1840,dakāku,scamper
1841,dakāmu,to bow down
1842,dakāšu,to press in
1843,dakšu,pressed down
1844,dalbānu,intervening space
1845,dalhu,troubled
1846,dalhu,disturbed
1847,dalhāniš,into a distracted state
1848,dallu,small
1849,dallu,stunted
1850,dalpiš,restlessly
1851,dalpu,sleepless
1852,dalpu,restless
1853,dalpu,watchful
1854,daltu,door
1855,dalû,bucket
1856,dalû,to draw
1857,dalāhu,to disturb
1858,dalāhu,stir up
1859,dalālu,to be small
1860,dalālu,wretched
1861,dalālu,to praise
1862,dalāpiš,awake
1863,dalāpu,to stir up
1864,dalāpu,be sleepless
1865,dalīlu,praise
1866,dalūtu,bucket-irrigated field
1867,damqiš,well
1868,damqiš,kindly
1869,damqu,good
1870,damtu,blood
1871,damtu,lineage
1872,damtu,form
1873,damtu,shape
1874,damāmiš,into (a place of) lamentation
1875,damāmu,to wail
1876,damāmu,moan
1877,damāqu,to be(come) good
1878,damāšu,to wipe
1879,damāṣu,to humble o.s.
1880,damṣu,humble
1881,dandannu,all-powerful
1882,dandannūtu,all-powerfulness
1883,dannatu,fortified (place)
1884,dannatu,fortress
1885,dannatu,foundation
1886,dannatu,building site
1887,dannatu,firm
1888,dannatu,binding (agreement)
1889,dannatu,distress
1890,dannatu,famine
1891,dannatu,difficulty
1892,dannatu,hard time of year
1893,dannatu,strict (command)
1894,dannatu,firm (order)
1895,dannina,nether world
1896,danniš,very
1897,danniš,severely
1898,dannišam,very much
1899,dannu,strong
1900,dannu,powerful
1901,dannu,mighty
1902,dannu,great
1903,dannu,(large) vat
1904,dannu,barrel
1905,dannūtu,strength
1906,dannūtu,power
1907,danû,to be of inferior quality
1908,danāniš,by force
1909,danānu,power
1910,danānu,strength
1911,danānu,to be(come) strong
1912,dapniš,aggressively
1913,dapnu,aggressive
1914,dappinu,very warlike
1915,dappu,blood clot
1916,dappurtu,absence
1917,dappānu,warlike
1918,dappānu,martial
1919,daprānu,juniper
1920,dapānu,to bear down on violently
1921,dapānu,hurtle towards
1922,dapīnu,overbearing
1923,dapīnu,savage
1924,daqqaqu,tiny ones
1925,daqqaqīta,tinily
1926,daqqiqu,very tiny
1927,daqqu,minute
1928,daqqu,fine
1929,daqāqu,to be minute
1930,daqāqu,fine
1931,daqāšu,to bend down
1932,daraggu,way
1933,daraggu,track
1934,dardarah,buckle
1935,dargiš,couch
1936,dargu,stair
1937,darku,following
1938,darku,later
1939,darrû,sacrificial sheep
1940,darsu,deposed
1941,darû,to last (for ever)
1942,darāku,to follow
1943,darāku,to pack up
1944,darāku,to thresh
1945,darāru,to move freely
1946,darāru,to intercalate
1947,darāsu,to trample
1948,darāsu,push back
1949,darāšu,to try
1950,darīku,pressed dates
1951,datnu,warlike
1952,datû,member
1953,dawû,to jerk
1954,dawû,convulse
1955,dayyaltu,(hunting) foray
1956,dayyantu,(female) judge
1957,dayyaštu,threshing sledge
1958,dayyiqu,siege wall(s)
1959,dayyālu,prowling
1960,dayyālu,scout
1961,dayyālu,servant
1962,dayyālītu,prowling
1963,dayyānu,judge
1964,dayyānūtu,judicature
1965,dayyānūtu,judgeship
1966,dayyāšu,threshing
1967,daš'u,spring
1968,dašari,(a type of) palace
1969,dašnu,mighty
1970,dašpu,(honey-)sweet
1971,dašāpu,to be sweet
1972,daššu,buck
1973,daššu,ram
1974,dehû,depressed
1975,dehû,pressed in
1976,dehûtu,depression
1977,dekû,raised
1978,dekû,to raise
1979,dekû,shift
1980,derderru,battle
1981,derû,to intercalate
1982,dešû,to sprout
1983,deššû,exceedingly opulent
1984,di'tu,knowledge
1985,di'tu,information
1986,di'u,d. illness
1987,di'u,(deity's) throne-platform
1988,dibbatu,argument
1989,dibbatu,chatter
1990,dibbu,words
1991,dibbu,utterance
1992,dibdibbu,clepsydra
1993,dibiru,calamity
1994,didabû,scribal apprentice
1995,didabû,pupil
1996,didallu,ash(es)
1997,didibbû,(court) judgement
1998,didiqqu,wren
1999,digirû,god
2000,diglu,vision
2001,diglu,view
2002,diglû,mirror
2003,dikištu,extension
2004,dikkuldû,legal opponent
2005,dikuggallu,chief justice
2006,dikurû,judgement
2007,dikurû,verdict
2008,dikûtu,levy
2009,dikšu,bulge
2010,dikšu,swelling
2011,dilhu,disturbed state
2012,dilihtu,disturbed condition
